species,gene,lam,k,rep,error
71,4,0,3,05,200
75,7,0,3,05,200
65,14,0,3,05,200
2,14,0,3,05,200
44,14,0,3,05,200
51,14,0,3,05,200
3,14,0,3,05,200
58,17,0,3,05,200
38,17,0,3,05,200
55,18,0,3,05,200
25,19,0,3,05,200
30,20,0,3,05,200
58,24,0,3,05,200
38,24,0,3,05,200
65,24,0,3,05,200
78,24,0,3,05,200
75,24,0,3,05,200
16,25,0,3,05,200
33,27,0,3,05,200
62,27,0,3,05,200
37,28,0,3,05,200
27,28,0,3,05,200
36,28,0,3,05,200
27,33,0,3,05,200
0,34,0,3,05,200
100,35,0,3,05,200
58,45,0,3,05,200
38,45,0,3,05,200
37,47,0,3,05,200
27,48,0,3,05,200
3,52,0,3,05,200
70,53,0,3,05,200
51,53,0,3,05,200
16,55,0,3,05,200
78,60,0,3,05,200
0,61,0,3,05,200
61,64,0,3,05,200
70,64,0,3,05,200
78,68,0,3,05,200
78,69,0,3,05,200
70,71,0,3,05,200
0,71,0,3,05,200
58,74,0,3,05,200
38,74,0,3,05,200
37,77,0,3,05,200
27,77,0,3,05,200
16,78,0,3,05,200
55,78,0,3,05,200
55,79,0,3,05,200
16,80,0,3,05,200
71,81,0,3,05,200
36,86,0,3,05,200
20,90,0,3,05,200
33,90,0,3,05,200
58,90,0,3,05,200
38,90,0,3,05,200
0,90,0,3,05,200
62,90,0,3,05,200
3,90,0,3,05,200
75,90,0,3,05,200
62,93,0,3,05,200
55,100,0,3,05,200
71,4,0.00001,3,05,200
75,7,0.00001,3,05,200
100,12,0.00001,3,05,200
65,14,0.00001,3,05,200
2,14,0.00001,3,05,200
44,14,0.00001,3,05,200
51,14,0.00001,3,05,200
3,14,0.00001,3,05,200
58,17,0.00001,3,05,200
38,17,0.00001,3,05,200
55,18,0.00001,3,05,200
30,20,0.00001,3,05,200
58,24,0.00001,3,05,200
38,24,0.00001,3,05,200
65,24,0.00001,3,05,200
78,24,0.00001,3,05,200
75,24,0.00001,3,05,200
16,25,0.00001,3,05,200
33,27,0.00001,3,05,200
62,27,0.00001,3,05,200
37,28,0.00001,3,05,200
27,28,0.00001,3,05,200
36,28,0.00001,3,05,200
27,33,0.00001,3,05,200
100,34,0.00001,3,05,200
0,34,0.00001,3,05,200
100,35,0.00001,3,05,200
58,45,0.00001,3,05,200
38,45,0.00001,3,05,200
37,47,0.00001,3,05,200
27,48,0.00001,3,05,200
3,52,0.00001,3,05,200
70,53,0.00001,3,05,200
51,53,0.00001,3,05,200
16,55,0.00001,3,05,200
78,60,0.00001,3,05,200
0,61,0.00001,3,05,200
61,64,0.00001,3,05,200
70,64,0.00001,3,05,200
78,68,0.00001,3,05,200
78,69,0.00001,3,05,200
70,71,0.00001,3,05,200
0,71,0.00001,3,05,200
58,74,0.00001,3,05,200
38,74,0.00001,3,05,200
37,77,0.00001,3,05,200
27,77,0.00001,3,05,200
16,78,0.00001,3,05,200
55,78,0.00001,3,05,200
55,79,0.00001,3,05,200
16,80,0.00001,3,05,200
71,81,0.00001,3,05,200
36,86,0.00001,3,05,200
20,90,0.00001,3,05,200
33,90,0.00001,3,05,200
58,90,0.00001,3,05,200
38,90,0.00001,3,05,200
0,90,0.00001,3,05,200
62,90,0.00001,3,05,200
75,90,0.00001,3,05,200
62,93,0.00001,3,05,200
37,97,0.00001,3,05,200
56,97,0.00001,3,05,200
55,100,0.00001,3,05,200
71,4,0.0001,3,05,200
75,7,0.0001,3,05,200
65,14,0.0001,3,05,200
2,14,0.0001,3,05,200
44,14,0.0001,3,05,200
51,14,0.0001,3,05,200
3,14,0.0001,3,05,200
58,17,0.0001,3,05,200
38,17,0.0001,3,05,200
55,18,0.0001,3,05,200
30,20,0.0001,3,05,200
38,24,0.0001,3,05,200
65,24,0.0001,3,05,200
78,24,0.0001,3,05,200
75,24,0.0001,3,05,200
16,25,0.0001,3,05,200
33,27,0.0001,3,05,200
62,27,0.0001,3,05,200
37,28,0.0001,3,05,200
63,30,0.0001,3,05,200
0,34,0.0001,3,05,200
100,35,0.0001,3,05,200
58,45,0.0001,3,05,200
38,45,0.0001,3,05,200
37,47,0.0001,3,05,200
3,52,0.0001,3,05,200
70,53,0.0001,3,05,200
16,55,0.0001,3,05,200
78,60,0.0001,3,05,200
0,61,0.0001,3,05,200
61,64,0.0001,3,05,200
70,64,0.0001,3,05,200
78,68,0.0001,3,05,200
78,69,0.0001,3,05,200
70,71,0.0001,3,05,200
0,71,0.0001,3,05,200
58,74,0.0001,3,05,200
38,74,0.0001,3,05,200
37,77,0.0001,3,05,200
55,78,0.0001,3,05,200
55,79,0.0001,3,05,200
16,80,0.0001,3,05,200
71,81,0.0001,3,05,200
33,90,0.0001,3,05,200
58,90,0.0001,3,05,200
38,90,0.0001,3,05,200
0,90,0.0001,3,05,200
62,90,0.0001,3,05,200
75,90,0.0001,3,05,200
78,92,0.0001,3,05,200
62,93,0.0001,3,05,200
37,97,0.0001,3,05,200
55,100,0.0001,3,05,200
71,4,0.001,3,05,200
75,7,0.001,3,05,200
65,14,0.001,3,05,200
44,14,0.001,3,05,200
51,14,0.001,3,05,200
30,20,0.001,3,05,200
33,27,0.001,3,05,200
62,27,0.001,3,05,200
2,28,0.001,3,05,200
63,30,0.001,3,05,200
100,35,0.001,3,05,200
2,38,0.001,3,05,200
58,45,0.001,3,05,200
38,45,0.001,3,05,200
70,53,0.001,3,05,200
55,53,0.001,3,05,200
58,54,0.001,3,05,200
61,64,0.001,3,05,200
70,64,0.001,3,05,200
78,69,0.001,3,05,200
70,71,0.001,3,05,200
0,71,0.001,3,05,200
58,74,0.001,3,05,200
38,74,0.001,3,05,200
39,79,0.001,3,05,200
29,79,0.001,3,05,200
15,79,0.001,3,05,200
64,79,0.001,3,05,200
24,79,0.001,3,05,200
55,79,0.001,3,05,200
16,80,0.001,3,05,200
71,81,0.001,3,05,200
0,90,0.001,3,05,200
62,93,0.001,3,05,200
