species,gene,lam,k,rep
51,11,0,3,31
55,11,0,3,31
2,13,0,3,31
6,13,0,3,31
44,17,0,3,31
79,17,0,3,31
78,17,0,3,31
12,17,0,3,31
82,17,0,3,31
15,22,0,3,31
62,23,0,3,31
15,31,0,3,31
15,34,0,3,31
30,64,0,3,31
7,68,0,3,31
4,68,0,3,31
1,68,0,3,31
3,68,0,3,31
2,68,0,3,31
6,68,0,3,31
54,75,0,3,31
16,89,0,3,31
63,7,0.00001,3,31
20,7,0.00001,3,31
18,7,0.00001,3,31
51,11,0.00001,3,31
55,11,0.00001,3,31
2,13,0.00001,3,31
6,13,0.00001,3,31
44,17,0.00001,3,31
79,17,0.00001,3,31
78,17,0.00001,3,31
12,17,0.00001,3,31
82,17,0.00001,3,31
15,22,0.00001,3,31
62,23,0.00001,3,31
15,31,0.00001,3,31
15,34,0.00001,3,31
30,64,0.00001,3,31
7,68,0.00001,3,31
4,68,0.00001,3,31
1,68,0.00001,3,31
3,68,0.00001,3,31
2,68,0.00001,3,31
6,68,0.00001,3,31
16,89,0.00001,3,31
60,7,0.0001,3,31
15,7,0.0001,3,31
80,7,0.0001,3,31
89,7,0.0001,3,31
26,7,0.0001,3,31
32,7,0.0001,3,31
95,7,0.0001,3,31
37,7,0.0001,3,31
64,7,0.0001,3,31
25,7,0.0001,3,31
68,7,0.0001,3,31
63,7,0.0001,3,31
88,7,0.0001,3,31
22,7,0.0001,3,31
97,7,0.0001,3,31
100,7,0.0001,3,31
84,7,0.0001,3,31
46,7,0.0001,3,31
35,7,0.0001,3,31
69,7,0.0001,3,31
81,7,0.0001,3,31
30,7,0.0001,3,31
91,7,0.0001,3,31
39,7,0.0001,3,31
20,7,0.0001,3,31
18,7,0.0001,3,31
51,11,0.0001,3,31
55,11,0.0001,3,31
8,13,0.0001,3,31
5,13,0.0001,3,31
2,13,0.0001,3,31
6,13,0.0001,3,31
91,14,0.0001,3,31
39,14,0.0001,3,31
44,17,0.0001,3,31
79,17,0.0001,3,31
78,17,0.0001,3,31
12,17,0.0001,3,31
82,17,0.0001,3,31
15,22,0.0001,3,31
62,23,0.0001,3,31
15,31,0.0001,3,31
15,34,0.0001,3,31
55,41,0.0001,3,31
30,64,0.0001,3,31
7,68,0.0001,3,31
4,68,0.0001,3,31
1,68,0.0001,3,31
3,68,0.0001,3,31
2,68,0.0001,3,31
6,68,0.0001,3,31
60,87,0.0001,3,31
16,89,0.0001,3,31
94,7,0.001,3,31
60,7,0.001,3,31
15,7,0.001,3,31
80,7,0.001,3,31
89,7,0.001,3,31
26,7,0.001,3,31
32,7,0.001,3,31
95,7,0.001,3,31
37,7,0.001,3,31
64,7,0.001,3,31
25,7,0.001,3,31
68,7,0.001,3,31
2,7,0.001,3,31
6,7,0.001,3,31
88,7,0.001,3,31
22,7,0.001,3,31
97,7,0.001,3,31
100,7,0.001,3,31
84,7,0.001,3,31
90,7,0.001,3,31
83,7,0.001,3,31
56,7,0.001,3,31
31,7,0.001,3,31
53,7,0.001,3,31
62,7,0.001,3,31
51,7,0.001,3,31
55,7,0.001,3,31
40,7,0.001,3,31
21,7,0.001,3,31
48,7,0.001,3,31
19,7,0.001,3,31
28,7,0.001,3,31
86,7,0.001,3,31
59,7,0.001,3,31
46,7,0.001,3,31
35,7,0.001,3,31
69,7,0.001,3,31
81,7,0.001,3,31
91,7,0.001,3,31
39,7,0.001,3,31
20,7,0.001,3,31
18,7,0.001,3,31
55,11,0.001,3,31
8,13,0.001,3,31
5,13,0.001,3,31
2,13,0.001,3,31
6,13,0.001,3,31
12,17,0.001,3,31
82,17,0.001,3,31
15,22,0.001,3,31
62,23,0.001,3,31
15,31,0.001,3,31
15,34,0.001,3,31
30,64,0.001,3,31
66,67,0.001,3,31
4,68,0.001,3,31
1,68,0.001,3,31
2,68,0.001,3,31
6,68,0.001,3,31
3,94,0.001,3,31
29,4,0.01,3,31
74,7,0.01,3,31
94,7,0.01,3,31
70,7,0.01,3,31
58,7,0.01,3,31
60,7,0.01,3,31
15,7,0.01,3,31
80,7,0.01,3,31
89,7,0.01,3,31
26,7,0.01,3,31
32,7,0.01,3,31
95,7,0.01,3,31
37,7,0.01,3,31
64,7,0.01,3,31
25,7,0.01,3,31
68,7,0.01,3,31
61,7,0.01,3,31
79,7,0.01,3,31
36,7,0.01,3,31
42,7,0.01,3,31
67,7,0.01,3,31
66,7,0.01,3,31
88,7,0.01,3,31
22,7,0.01,3,31
97,7,0.01,3,31
100,7,0.01,3,31
84,7,0.01,3,31
73,7,0.01,3,31
47,7,0.01,3,31
96,7,0.01,3,31
24,7,0.01,3,31
87,7,0.01,3,31
14,7,0.01,3,31
57,7,0.01,3,31
45,7,0.01,3,31
43,7,0.01,3,31
72,7,0.01,3,31
20,7,0.01,3,31
18,7,0.01,3,31
15,31,0.01,3,31
2,68,0.01,3,31
6,68,0.01,3,31
3,86,0.01,3,31
0,86,0.01,3,31
74,93,0.01,3,31
94,93,0.01,3,31
41,93,0.01,3,31
74,94,0.01,3,31
94,94,0.01,3,31
41,94,0.01,3,31
4,94,0.01,3,31
3,94,0.01,3,31
40,94,0.01,3,31
19,94,0.01,3,31
86,94,0.01,3,31
16,94,0.01,3,31
46,94,0.01,3,31
73,94,0.01,3,31
35,94,0.01,3,31
69,94,0.01,3,31
81,94,0.01,3,31
30,94,0.01,3,31
91,94,0.01,3,31
39,94,0.01,3,31
47,94,0.01,3,31
96,94,0.01,3,31
20,94,0.01,3,31
36,7,0.1,3,31
42,7,0.1,3,31
67,7,0.1,3,31
73,7,0.1,3,31
74,38,0.1,3,31
0,43,0.1,3,31
0,86,0.1,3,31
74,93,0.1,3,31
0,43,1,3,31
46,95,1,3,31
35,95,1,3,31
30,95,1,3,31
91,95,1,3,31
24,95,1,3,31
87,95,1,3,31
14,95,1,3,31
57,95,1,3,31
49,43,100,3,31
99,43,100,3,31
76,43,100,3,31
75,43,100,3,31
11,43,100,3,31
27,43,100,3,31
36,43,100,3,31
42,43,100,3,31
67,43,100,3,31
66,43,100,3,31
45,43,100,3,31
43,43,100,3,31
72,43,100,3,31
54,43,100,3,31
20,43,100,3,31
44,7,true,3,31
79,7,true,3,31
78,7,true,3,31
12,7,true,3,31
82,7,true,3,31
49,43,true,3,31
99,43,true,3,31
76,43,true,3,31
75,43,true,3,31
11,43,true,3,31
27,43,true,3,31
36,43,true,3,31
42,43,true,3,31
67,43,true,3,31
66,43,true,3,31
45,43,true,3,31
43,43,true,3,31
72,43,true,3,31
54,43,true,3,31
20,43,true,3,31
85,79,true,3,31
65,79,true,3,31
92,79,true,3,31
17,79,true,3,31
33,79,true,3,31
52,79,true,3,31
77,79,true,3,31
50,79,true,3,31
7,80,true,3,31
4,80,true,3,31
1,80,true,3,31
3,80,true,3,31
2,80,true,3,31
6,80,true,3,31
