species,gene,lam,k,rep
57,7,0,3,44
77,7,0,3,44
58,7,0,3,44
77,8,0,3,44
56,12,0,3,44
79,12,0,3,44
15,12,0,3,44
76,21,0,3,44
3,21,0,3,44
63,23,0,3,44
75,23,0,3,44
61,23,0,3,44
68,23,0,3,44
55,31,0,3,44
67,31,0,3,44
26,32,0,3,44
12,32,0,3,44
77,34,0,3,44
47,34,0,3,44
53,34,0,3,44
76,44,0,3,44
3,44,0,3,44
1,44,0,3,44
57,45,0,3,44
85,47,0,3,44
63,48,0,3,44
75,48,0,3,44
3,48,0,3,44
10,49,0,3,44
74,49,0,3,44
21,49,0,3,44
37,49,0,3,44
9,49,0,3,44
69,49,0,3,44
44,49,0,3,44
16,49,0,3,44
26,49,0,3,44
47,54,0,3,44
53,54,0,3,44
26,55,0,3,44
56,56,0,3,44
79,56,0,3,44
62,56,0,3,44
81,57,0,3,44
61,69,0,3,44
68,69,0,3,44
4,70,0,3,44
1,70,0,3,44
47,78,0,3,44
63,80,0,3,44
75,80,0,3,44
20,80,0,3,44
42,80,0,3,44
38,80,0,3,44
49,80,0,3,44
4,84,0,3,44
24,84,0,3,44
52,84,0,3,44
29,84,0,3,44
99,85,0,3,44
77,86,0,3,44
58,86,0,3,44
26,86,0,3,44
12,86,0,3,44
1,91,0,3,44
76,95,0,3,44
3,95,0,3,44
57,100,0,3,44
62,100,0,3,44
15,100,0,3,44
57,7,0.00001,3,44
77,7,0.00001,3,44
58,7,0.00001,3,44
77,8,0.00001,3,44
56,12,0.00001,3,44
79,12,0.00001,3,44
15,12,0.00001,3,44
76,21,0.00001,3,44
3,21,0.00001,3,44
63,23,0.00001,3,44
75,23,0.00001,3,44
61,23,0.00001,3,44
68,23,0.00001,3,44
55,31,0.00001,3,44
67,31,0.00001,3,44
26,32,0.00001,3,44
12,32,0.00001,3,44
77,34,0.00001,3,44
47,34,0.00001,3,44
53,34,0.00001,3,44
76,44,0.00001,3,44
3,44,0.00001,3,44
1,44,0.00001,3,44
57,45,0.00001,3,44
85,47,0.00001,3,44
63,48,0.00001,3,44
75,48,0.00001,3,44
3,48,0.00001,3,44
10,49,0.00001,3,44
74,49,0.00001,3,44
21,49,0.00001,3,44
37,49,0.00001,3,44
9,49,0.00001,3,44
69,49,0.00001,3,44
44,49,0.00001,3,44
16,49,0.00001,3,44
26,49,0.00001,3,44
47,54,0.00001,3,44
53,54,0.00001,3,44
26,55,0.00001,3,44
33,55,0.00001,3,44
55,55,0.00001,3,44
67,55,0.00001,3,44
56,56,0.00001,3,44
79,56,0.00001,3,44
62,56,0.00001,3,44
81,57,0.00001,3,44
36,65,0.00001,3,44
60,65,0.00001,3,44
100,65,0.00001,3,44
4,70,0.00001,3,44
1,70,0.00001,3,44
47,78,0.00001,3,44
63,80,0.00001,3,44
75,80,0.00001,3,44
20,80,0.00001,3,44
42,80,0.00001,3,44
38,80,0.00001,3,44
49,80,0.00001,3,44
76,81,0.00001,3,44
3,81,0.00001,3,44
4,84,0.00001,3,44
24,84,0.00001,3,44
52,84,0.00001,3,44
29,84,0.00001,3,44
99,85,0.00001,3,44
58,86,0.00001,3,44
12,86,0.00001,3,44
4,90,0.00001,3,44
1,91,0.00001,3,44
76,95,0.00001,3,44
3,95,0.00001,3,44
57,100,0.00001,3,44
62,100,0.00001,3,44
15,100,0.00001,3,44
57,7,0.0001,3,44
77,7,0.0001,3,44
58,7,0.0001,3,44
77,8,0.0001,3,44
56,12,0.0001,3,44
79,12,0.0001,3,44
15,12,0.0001,3,44
76,21,0.0001,3,44
3,21,0.0001,3,44
63,23,0.0001,3,44
75,23,0.0001,3,44
55,31,0.0001,3,44
67,31,0.0001,3,44
26,32,0.0001,3,44
12,32,0.0001,3,44
77,34,0.0001,3,44
47,34,0.0001,3,44
53,34,0.0001,3,44
76,44,0.0001,3,44
3,44,0.0001,3,44
1,44,0.0001,3,44
57,45,0.0001,3,44
63,48,0.0001,3,44
75,48,0.0001,3,44
3,48,0.0001,3,44
10,49,0.0001,3,44
74,49,0.0001,3,44
37,49,0.0001,3,44
69,49,0.0001,3,44
26,49,0.0001,3,44
47,54,0.0001,3,44
53,54,0.0001,3,44
26,55,0.0001,3,44
30,55,0.0001,3,44
33,55,0.0001,3,44
56,56,0.0001,3,44
79,56,0.0001,3,44
62,56,0.0001,3,44
48,60,0.0001,3,44
6,60,0.0001,3,44
25,60,0.0001,3,44
96,65,0.0001,3,44
89,65,0.0001,3,44
95,65,0.0001,3,44
4,70,0.0001,3,44
1,70,0.0001,3,44
47,78,0.0001,3,44
76,81,0.0001,3,44
24,84,0.0001,3,44
52,84,0.0001,3,44
29,84,0.0001,3,44
99,85,0.0001,3,44
1,91,0.0001,3,44
76,95,0.0001,3,44
3,95,0.0001,3,44
57,100,0.0001,3,44
62,100,0.0001,3,44
15,100,0.0001,3,44
57,7,0.001,3,44
77,7,0.001,3,44
58,7,0.001,3,44
77,8,0.001,3,44
56,12,0.001,3,44
79,12,0.001,3,44
15,12,0.001,3,44
55,31,0.001,3,44
67,31,0.001,3,44
20,32,0.001,3,44
42,32,0.001,3,44
38,32,0.001,3,44
49,32,0.001,3,44
36,32,0.001,3,44
60,32,0.001,3,44
26,32,0.001,3,44
12,32,0.001,3,44
77,34,0.001,3,44
47,34,0.001,3,44
53,34,0.001,3,44
76,44,0.001,3,44
3,44,0.001,3,44
1,44,0.001,3,44
57,45,0.001,3,44
26,49,0.001,3,44
47,54,0.001,3,44
53,54,0.001,3,44
26,55,0.001,3,44
56,56,0.001,3,44
79,56,0.001,3,44
62,56,0.001,3,44
99,58,0.001,3,44
48,60,0.001,3,44
6,60,0.001,3,44
25,60,0.001,3,44
84,60,0.001,3,44
98,65,0.001,3,44
96,65,0.001,3,44
89,65,0.001,3,44
99,65,0.001,3,44
94,65,0.001,3,44
86,65,0.001,3,44
81,65,0.001,3,44
85,65,0.001,3,44
87,65,0.001,3,44
82,65,0.001,3,44
92,65,0.001,3,44
84,65,0.001,3,44
95,65,0.001,3,44
2,66,0.001,3,44
4,70,0.001,3,44
1,70,0.001,3,44
47,78,0.001,3,44
29,84,0.001,3,44
99,85,0.001,3,44
42,86,0.001,3,44
1,91,0.001,3,44
76,95,0.001,3,44
3,95,0.001,3,44
28,99,0.001,3,44
41,99,0.001,3,44
15,99,0.001,3,44
86,99,0.001,3,44
57,100,0.001,3,44
62,100,0.001,3,44
15,100,0.001,3,44
28,26,0.01,3,44
78,26,0.01,3,44
41,26,0.01,3,44
50,26,0.01,3,44
100,26,0.01,3,44
93,26,0.01,3,44
83,26,0.01,3,44
91,26,0.01,3,44
48,26,0.01,3,44
6,26,0.01,3,44
25,26,0.01,3,44
20,32,0.01,3,44
38,32,0.01,3,44
26,32,0.01,3,44
12,32,0.01,3,44
0,65,0.01,3,44
96,65,0.01,3,44
89,65,0.01,3,44
87,65,0.01,3,44
95,65,0.01,3,44
29,84,0.01,3,44
0,86,0.01,3,44
42,86,0.01,3,44
64,86,0.01,3,44
8,86,0.01,3,44
7,86,0.01,3,44
25,86,0.01,3,44
63,89,0.01,3,44
75,89,0.01,3,44
97,26,0.1,3,44
98,26,0.1,3,44
80,26,0.1,3,44
100,26,0.1,3,44
93,26,0.1,3,44
83,26,0.1,3,44
91,26,0.1,3,44
90,26,0.1,3,44
88,26,0.1,3,44
26,32,0.1,3,44
0,86,0.1,3,44
42,86,0.1,3,44
64,86,0.1,3,44
8,86,0.1,3,44
7,86,0.1,3,44
25,86,0.1,3,44
0,19,1,3,44
0,86,1,3,44
42,86,1,3,44
64,86,1,3,44
8,86,1,3,44
7,86,1,3,44
25,86,1,3,44
0,19,10,3,44
0,86,10,3,44
42,86,10,3,44
64,86,10,3,44
8,86,10,3,44
7,86,10,3,44
0,86,100,3,44
0,86,true,3,44
