species,gene,lam,k
Acris_crepitans_Hylidae,6,0,3
Agalychnis_callidryas_Hylidae,6,0,3
Agalychnis_lemur_Hylidae,6,0,3
Aglyptodactylus_madagascariensis_Mantellidae,6,0,3
Aglyptodactylus_madagascariensis_Mantellidae,64,0,3
Aglyptodactylus_madagascariensis_Mantellidae,83,0,3
Allobates_femoralis_Dendrobatidae,6,0,3
Alsodes_gargola_Alsodidae,6,0,3
Alytes_obstetricans_Alytidae,6,0,3
Amietia_lubrica_Pyxicephalidae,6,0,3
Amietia_lubrica_Pyxicephalidae,64,0,3
Amietia_lubrica_Pyxicephalidae,67,0,3
Amolops_loloensis_Ranidae,6,0,3
Amolops_ricketti_Ranidae,6,0,3
Anaxyrus_canorus_Bufonidae,6,0,3
Anaxyrus_punctatus_Bufonidae,6,0,3
Aplastodiscus_perviridis_Hylidae,6,0,3
Arthroleptis_poecilonotus_Arthroleptidae,6,0,3
Astylosternus_diadematus_Arthroleptidae,6,0,3
Atelognathus_reverberii_Batrachylidae,6,0,3
Aubria_subsigillata_Pyxicephalidae,6,0,3
Aubria_subsigillata_Pyxicephalidae,64,0,3
Barbourula_busuangensis_Bombinatoridae,6,0,3
Barycholos_pulcher_Strabomantidae,6,0,3
Batrachophrynus_macrostomus_Telmatobiidae,6,0,3
Batrachyla_leptopus_Batrachylidae,6,0,3
Batrachyla_taeniata_Batrachylidae,6,0,3
Bombina_fortinuptialis_Bombinatoridae,6,0,3
Bombina_orientalis_Bombinatoridae,6,0,3
Boophis_madagascariensis_Mantellidae,6,0,3
Boophis_madagascariensis_Mantellidae,64,0,3
Boophis_madagascariensis_Mantellidae,83,0,3
Brachytarsophrys_feae_Megophryidae,6,0,3
Breviceps_macrops_Brevicipitidae,6,0,3
Buergeria_oxycephala_Rhacophoridae,6,0,3
Buergeria_oxycephala_Rhacophoridae,64,0,3
Buergeria_oxycephala_Rhacophoridae,67,0,3
Buergeria_oxycephala_Rhacophoridae,83,0,3
Bufo_gargarizans_Bufonidae,6,0,3
Callulina_kreffti_Brevicipitidae,6,0,3
Callulops_wilhelmanus_Microhylidae,6,0,3
Callulops_wilhelmanus_Microhylidae,64,0,3
Callulops_wilhelmanus_Microhylidae,67,0,3
Callulops_wilhelmanus_Microhylidae,83,0,3
Calyptocephalella_gayi_Calyptocephalellidae,6,0,3
Ceratophrys_cornuta_Ceratophryidae,6,0,3
Colostethus_jacobuspetersi_Dendrobatidae,6,0,3
Conraua_crassipes_Conrauidae,6,0,3
Conraua_crassipes_Conrauidae,64,0,3
Conraua_crassipes_Conrauidae,67,0,3
Cophixalus_cheesmanae_Microhylidae,6,0,3
Cophixalus_cheesmanae_Microhylidae,64,0,3
Cophixalus_cheesmanae_Microhylidae,67,0,3
Cophixalus_cheesmanae_Microhylidae,83,0,3
Cophixalus_sp._Microhylidae,6,0,3
Cophixalus_sp._Microhylidae,64,0,3
Cophixalus_sp._Microhylidae,67,0,3
Cophixalus_sp._Microhylidae,83,0,3
Craugastor_augusti_Craugastoridae,6,0,3
Craugastor_fitzingeri_Craugastoridae,6,0,3
Crinia_signifera_Myobatrachidae,6,0,3
Cryptobatrachus_sp._Hemiphractidae,6,0,3
Dendropsophus_parviceps_Hylidae,6,0,3
Discoglossus_pictus_Alytidae,6,0,3
Dyscophus_antongilii_Microhylidae,6,0,3
Elachistocleis_ovalis_Microhylidae,6,0,3
Eleutherodactylus_planirostris_Eleutherodactylidae,6,0,3
Engystomops_pustulosus_Leptodactylidae,6,0,3
Eupsophus_calcaratus_Alsodidae,6,0,3
Fejervarya_limnocharis_Dicroglossidae,6,0,3
Fejervarya_limnocharis_Dicroglossidae,64,0,3
Fejervarya_limnocharis_Dicroglossidae,67,0,3
Fejervarya_limnocharis_Dicroglossidae,83,0,3
Gastrophryne_olivacea_Microhylidae,6,0,3
Gastrotheca_pseustes_Hemiphractidae,6,0,3
Heleophryne_purcelli_Heleophrynidae,6,0,3
Hemisus_marmoratus_Hemisotidae,6,0,3
Hoplobatrachus_tigerinus_Dicroglossidae,6,0,3
Hoplobatrachus_tigerinus_Dicroglossidae,64,0,3
Hoplobatrachus_tigerinus_Dicroglossidae,67,0,3
Hoplobatrachus_tigerinus_Dicroglossidae,83,0,3
Hyla_chinensis_Hylidae,6,0,3
Hylarana_guentheri_Ranidae,6,0,3
Hylarana_latouchii_Ranidae,6,0,3
Hylarana_sp._Ranidae,6,0,3
Hyloscirtus_lindae_Hylidae,6,0,3
Hymenochirus_sp._Pipidae,6,0,3
Hyperolius_bolifambae_Hyperoliidae,6,0,3
Hypodactylus_brunneus_Strabomantidae,6,0,3
Hypsiboas_fasciatus_Hylidae,6,0,3
Incilius_valliceps_Bufonidae,6,0,3
Ingerana_xizangensis_Ceratobatrachidae,6,0,3
Ingerana_xizangensis_Ceratobatrachidae,64,0,3
Ingerana_xizangensis_Ceratobatrachidae,83,0,3
Insuetophrynus_acarpicus_Rhinodermatidae,6,0,3
Kalophrynus_pleurostigma_Microhylidae,6,0,3
Kalophrynus_pleurostigma_Microhylidae,67,0,3
Kaloula_conjuncta_Microhylidae,64,0,3
