species,gene,lam,k
Acorus_americanus,124,0,3
Acorus_americanus,183,0,3
Acorus_americanus,204,0,3
Acorus_americanus,395,0,3
Acorus_americanus,440,0,3
Acorus_americanus,469,0,3
Acorus_americanus,677,0,3
Acorus_americanus,85,0,3
Acorus_americanus,87,0,3
Allamanda_cathartica,277,0,3
Allamanda_cathartica,395,0,3
Allamanda_cathartica,469,0,3
Allamanda_cathartica,48,0,3
Allamanda_cathartica,506,0,3
Allamanda_cathartica,65,0,3
Allamanda_cathartica,695,0,3
Allamanda_cathartica,85,0,3
Amborella_trichopoda,183,0,3
Amborella_trichopoda,192,0,3
Amborella_trichopoda,279,0,3
Amborella_trichopoda,346,0,3
Amborella_trichopoda,390,0,3
Amborella_trichopoda,399,0,3
Amborella_trichopoda,453,0,3
Amborella_trichopoda,469,0,3
Amborella_trichopoda,60,0,3
Amborella_trichopoda,683,0,3
Amborella_trichopoda,746,0,3
Amborella_trichopoda,85,0,3
Anomodon_attenuatus,28,0,3
Anomodon_attenuatus,60,0,3
Anomodon_attenuatus,70,0,3
Aquilegia_formosa,148,0,3
Aquilegia_formosa,183,0,3
Aquilegia_formosa,426,0,3
Aquilegia_formosa,443,0,3
Aquilegia_formosa,459,0,3
Aquilegia_formosa,469,0,3
Aquilegia_formosa,511,0,3
Aquilegia_formosa,745,0,3
Aquilegia_formosa,793,0,3
Aquilegia_formosa,814,0,3
Aquilegia_formosa,85,0,3
Arabidopsis_thaliana,124,0,3
Arabidopsis_thaliana,373,0,3
Arabidopsis_thaliana,395,0,3
Arabidopsis_thaliana,582,0,3
Arabidopsis_thaliana,68,0,3
Arabidopsis_thaliana,85,0,3
Bazzania_trilobata,277,0,3
Bazzania_trilobata,28,0,3
Bazzania_trilobata,36,0,3
Boehmeria_nivea,183,0,3
Boehmeria_nivea,277,0,3
Boehmeria_nivea,371,0,3
Boehmeria_nivea,395,0,3
Boehmeria_nivea,706,0,3
Brachypodium_distachyon,124,0,3
Brachypodium_distachyon,179,0,3
Brachypodium_distachyon,183,0,3
Brachypodium_distachyon,211,0,3
Brachypodium_distachyon,225,0,3
Brachypodium_distachyon,270,0,3
Brachypodium_distachyon,395,0,3
Brachypodium_distachyon,430,0,3
Brachypodium_distachyon,436,0,3
Brachypodium_distachyon,508,0,3
Brachypodium_distachyon,582,0,3
Brachypodium_distachyon,596,0,3
Brachypodium_distachyon,695,0,3
Brachypodium_distachyon,819,0,3
Brachypodium_distachyon,85,0,3
Bryum_argenteum,124,0,3
Bryum_argenteum,469,0,3
Bryum_argenteum,506,0,3
Carica_papaya,208,0,3
Carica_papaya,582,0,3
Carica_papaya,85,0,3
Catharanthus_roseus,204,0,3
Catharanthus_roseus,395,0,3
Catharanthus_roseus,469,0,3
Catharanthus_roseus,635,0,3
Catharanthus_roseus,677,0,3
Catharanthus_roseus,85,0,3
Catharanthus_roseus,87,0,3
Cedrus_libani,585,0,3
Ceratodon_purpureus,108,0,3
Ceratodon_purpureus,284,0,3
Ceratodon_purpureus,506,0,3
Ceratodon_purpureus,635,0,3
Ceratodon_purpureus,686,0,3
Ceratodon_purpureus,736,0,3
Ceratodon_purpureus,763,0,3
Ceratodon_purpureus,847,0,3
Colchicum_autumnale,187,0,3
Colchicum_autumnale,521,0,3
Colchicum_autumnale,763,0,3
Coleochaete_scutata,187,0,3
Cunninghamia_lanceolata,171,0,3
Cunninghamia_lanceolata,277,0,3
Cunninghamia_lanceolata,453,0,3
Cunninghamia_lanceolata,677,0,3
Cycas_micholitzii,349,0,3
Cycas_rumphii,16,0,3
Cycas_rumphii,2,0,3
Cycas_rumphii,362,0,3
Cycas_rumphii,469,0,3
Cycas_rumphii,506,0,3
Cycas_rumphii,53,0,3
Cycas_rumphii,847,0,3
Dioscorea_villosa,148,0,3
Dioscorea_villosa,204,0,3
Dioscorea_villosa,211,0,3
Dioscorea_villosa,308,0,3
Dioscorea_villosa,485,0,3
Dioscorea_villosa,506,0,3
Dioscorea_villosa,60,0,3
Dioscorea_villosa,814,0,3
Dioscorea_villosa,85,0,3
Diospyros_malabarica,395,0,3
Diospyros_malabarica,469,0,3
Diospyros_malabarica,793,0,3
Diospyros_malabarica,85,0,3
Ephedra_sinica,190,0,3
Ephedra_sinica,212,0,3
Ephedra_sinica,467,0,3
Ephedra_sinica,51,0,3
Ephedra_sinica,699,0,3
Equisetum_diffusum,204,0,3
Eschscholzia_californica,124,0,3
Eschscholzia_californica,183,0,3
Eschscholzia_californica,395,0,3
Eschscholzia_californica,695,0,3
Eschscholzia_californica,793,0,3
Eschscholzia_californica,85,0,3
Ginkgo_biloba,138,0,3
Ginkgo_biloba,82,0,3
Gnetum_montanum,697,0,3
Hedwigia_ciliata,159,0,3
Hedwigia_ciliata,847,0,3
Hibiscus_cannabinus,277,0,3
Hibiscus_cannabinus,395,0,3
Hibiscus_cannabinus,426,0,3
Hibiscus_cannabinus,469,0,3
Hibiscus_cannabinus,85,0,3
Houttuynia_cordata,277,0,3
Houttuynia_cordata,395,0,3
Houttuynia_cordata,426,0,3
Houttuynia_cordata,469,0,3
Houttuynia_cordata,582,0,3
Houttuynia_cordata,67,0,3
Houttuynia_cordata,677,0,3
Houttuynia_cordata,695,0,3
Houttuynia_cordata,706,0,3
Houttuynia_cordata,763,0,3
Houttuynia_cordata,793,0,3
Houttuynia_cordata,85,0,3
Huperzia_squarrosa,211,0,3
Inula_helenium,141,0,3
Inula_helenium,395,0,3
Inula_helenium,443,0,3
Inula_helenium,469,0,3
Inula_helenium,677,0,3
Inula_helenium,706,0,3
Inula_helenium,745,0,3
Inula_helenium,781,0,3
Inula_helenium,814,0,3
Inula_helenium,85,0,3
Ipomoea_purpurea,277,0,3
Ipomoea_purpurea,395,0,3
Ipomoea_purpurea,426,0,3
Ipomoea_purpurea,469,0,3
Ipomoea_purpurea,706,0,3
Ipomoea_purpurea,85,0,3
Juniperus_scopulorum,171,0,3
Juniperus_scopulorum,192,0,3
Juniperus_scopulorum,277,0,3
Juniperus_scopulorum,32,0,3
Juniperus_scopulorum,508,0,3
Juniperus_scopulorum,847,0,3
Kadsura_heteroclita,183,0,3
Kadsura_heteroclita,225,0,3
Kadsura_heteroclita,511,0,3
Kadsura_heteroclita,65,0,3
Kadsura_heteroclita,67,0,3
Kadsura_heteroclita,696,0,3
Kochia_scoparia,183,0,3
Kochia_scoparia,277,0,3
Kochia_scoparia,346,0,3
Kochia_scoparia,395,0,3
Kochia_scoparia,443,0,3
Kochia_scoparia,660,0,3
Kochia_scoparia,677,0,3
Kochia_scoparia,85,0,3
Larrea_tridentata,124,0,3
Larrea_tridentata,183,0,3
Larrea_tridentata,469,0,3
Larrea_tridentata,618,0,3
Larrea_tridentata,677,0,3
Larrea_tridentata,85,0,3
Leucodon_brachypus,171,0,3
Leucodon_brachypus,266,0,3
Leucodon_brachypus,277,0,3
Leucodon_brachypus,495,0,3
Liriodendron_tulipifera,183,0,3
Liriodendron_tulipifera,395,0,3
Liriodendron_tulipifera,426,0,3
Liriodendron_tulipifera,469,0,3
Liriodendron_tulipifera,65,0,3
Liriodendron_tulipifera,695,0,3
Liriodendron_tulipifera,706,0,3
Liriodendron_tulipifera,793,0,3
Liriodendron_tulipifera,85,0,3
Medicago_truncatula,183,0,3
Medicago_truncatula,220,0,3
Medicago_truncatula,344,0,3
Medicago_truncatula,68,0,3
Medicago_truncatula,85,0,3
Nuphar_advena,124,0,3
Nuphar_advena,135,0,3
Nuphar_advena,148,0,3
Nuphar_advena,183,0,3
Nuphar_advena,225,0,3
Nuphar_advena,246,0,3
Nuphar_advena,346,0,3
Nuphar_advena,469,0,3
Nuphar_advena,556,0,3
Nuphar_advena,60,0,3
Nuphar_advena,706,0,3
Nuphar_advena,85,0,3
